Name,Album,Artist,Release_date,Length,popularity,acousticness,danceability,energy,instrumentalness,liveness,key,loudness,valence,speechiness,tempo,mode
When We Were Us (Beautiful Days),Lovelyz 6th Mini Album [Once upon a time],Lovelyz,2019-05-20,233185,37,0.317,0.678,0.887,0.0,0.067,9,-1.407,0.618,0.0355,126.957,1
Begin Again,Another,KIM JAE HWAN,2019-05-20,233400,0,0.468,0.535,0.675,0.0,0.141,8,-3.275,0.461,0.0381,139.632,1
BREATHE,B:COMPLETE,AB6IX,2019-05-22,217823,54,0.0641,0.818,0.849,0.0,0.0839,9,-4.399,0.605,0.206,124.954,0
Really Really,LOVE ADVENTURE,Cherry Bullet,2019-05-22,195680,46,0.00183,0.697,0.857,1.24e-05,0.345,11,-3.272,0.41,0.0408,104.02,0
Superhuman,NCT #127 WE ARE SUPERHUMAN - The 4th Mini Album,NCT 127,2019-05-24,237853,51,0.0438,0.679,0.797,0.0,0.0748,2,-4.627,0.609,0.338,117.018,1
Twilight,RAISE US,ONEUS,2019-05-29,217933,28,0.0202,0.611,0.78,0.0,0.0857,8,-4.63,0.306,0.0777,117.035,1
ME,ME,CLC,2019-05-30,193253,57,0.022,0.752,0.804,1.76e-05,0.0865,11,-3.512,0.795,0.0656,146.943,0
NO ONE,24℃,LeeHi,2019-05-30,194596,0,0.226,0.745,0.613,0.0,0.0664,11,-5.368,0.542,0.0427,91.997,0
Boogie Up,SPECIAL ALBUM <For the Summer>,WJSN,2019-06-04,183787,47,0.0635,0.692,0.946,5.45e-05,0.186,7,-1.039,0.535,0.0587,129.079,1
FUN!,FUN FACTORY,fromis_9,2019-06-04,183413,0,0.0363,0.693,0.93,0.0,0.0643,8,-2.001,0.799,0.0735,123.986,1
Wave,TREASURE EP.3: One To All,ATEEZ,2019-06-10,203933,64,0.0886,0.624,0.86,1.1e-05,0.123,1,-3.346,0.447,0.0387,99.968,1
Illusion,TREASURE EP.3: One To All,ATEEZ,2019-06-10,210066,56,0.195,0.725,0.744,0.0,0.0736,2,-4.448,0.899,0.0506,140.104,1
BIRTHDAY,BIRTHDAY,JEON SOMI,2019-06-13,185796,66,0.0163,0.687,0.844,9.92e-06,0.0372,7,-4.242,0.596,0.109,180.055,1
RPM,RPM,SF9,2019-06-17,201528,48,0.017,0.534,0.786,0.0,0.0664,3,-4.545,0.379,0.126,169.962,0
Pink Magic,Pink Magic,YESUNG,2019-06-18,194465,39,0.277,0.766,0.68,1.2e-06,0.128,6,-4.059,0.736,0.0344,118.024,1
Side Effects,UNVEIL Stray Kids,Stray Kids,2019-09-19,193852,0,0.0219,0.444,0.977,0.0,0.0545,2,-1.736,0.118,0.145,129.975,1
Snapping,Flourishing,CHUNG HA,2019-06-24,213164,1,0.0706,0.751,0.726,3.42e-06,0.278,8,-3.499,0.581,0.038,104.914,0
Uh-Oh,Uh-Oh,(G)I-DLE,2019-06-26,207600,60,0.0586,0.781,0.814,0.0,0.118,11,-3.315,0.782,0.0648,92.037,0
Fever,GFRIEND The 7th Mini Album `FEVER SEASON`,GFRIEND,2019-07-01,214293,57,0.208,0.764,0.836,0.0,0.234,1,-2.868,0.51,0.0396,111.934,1
Room Shaker,butterFLY,AILEE,2019-07-02,195026,48,0.0323,0.697,0.897,0.0,0.138,11,-3.628,0.736,0.136,140.03,0
We don’t talk together,We don’t talk together,HEIZE,2019-07-07,199215,1,0.039,0.64,0.734,0.0,0.333,11,-4.67,0.308,0.0381,97.862,0
BLUE,BXXX,HA SUNG WOON,2019-07-08,201880,36,0.0809,0.637,0.827,0.0,0.0774,8,-3.215,0.603,0.0528,100.03,1
UN Village,City Lights - The 1st Mini Album,BAEKHYUN,2019-07-10,235509,63,0.267,0.674,0.589,0.0,0.312,6,-3.806,0.577,0.112,83.985,0
I'm So Pretty,I'm So Pretty,NATURE,2019-07-10,210106,0,0.0349,0.661,0.962,1.7e-05,0.223,7,-2.289,0.94,0.0951,160.039,1
COOL LOVE (Prod. dress),THE LOVE OF SUMMER : THE PERFORMANCE,HONGBIN,2019-07-10,203088,37,0.021,0.717,0.658,0.0,0.114,7,-5.442,0.366,0.0535,104.044,0
SUNSET,KNK S/S Collection,KNK,2019-07-15,194934,0,0.00344,0.61,0.799,7.78e-05,0.142,9,-5.449,0.504,0.068,119.979,0
Humph!,SUM(ME:R),PENTAGON,2019-07-17,192613,53,0.168,0.791,0.674,0.0,0.0801,2,-4.025,0.963,0.0516,132.985,1
Long Flight,Long Flight,TAEYONG,2019-07-18,198293,58,0.203,0.688,0.861,1.47e-06,0.127,5,-2.789,0.875,0.0455,148.065,0
Badster,Badster,HYO,2019-07-20,193437,30,0.000924,0.6,0.864,0.0444,0.412,11,-6.732,0.61,0.0537,138.026,0
What a life,What a life - The 1st Mini Album,EXO-SC,2019-07-22,203866,53,0.301,0.862,0.782,0.0,0.143,5,-3.811,0.847,0.125,135.029,0
Movie Star,"HELLO Chapter 1: Hello, Stranger",CIX,2019-07-23,210506,34,0.107,0.718,0.89,0.0,0.462,3,-3.798,0.741,0.0553,111.967,0
Give me more (feat. De La Ghetto & Play-N-Skillz),GIVE ME MORE,VAV,2019-07-23,234653,48,0.0336,0.719,0.833,0.0,0.0572,2,-3.523,0.642,0.0411,99.983,0
RED-SUN (021),THE PARK IN THE NIGHT part three,GWSN,2019-07-23,189275,40,0.034,0.754,0.873,0.0,0.502,4,-3.92,0.708,0.159,128.072,0
Gleam,Gleam,MAMAMOO,2019-09-25,184360,19,0.111,0.772,0.786,0.0,0.0717,1,-3.825,0.649,0.13,117.95,1
What are you up to,color on me,KANG DANIEL,2019-07-25,182773,45,0.336,0.726,0.668,0.0,0.0872,0,-3.436,0.873,0.389,159.952,1
BOOM,We Boom - The 3rd Mini Album,NCT DREAM,2019-07-26,195080,67,0.131,0.914,0.516,0.0,0.0441,5,-4.178,0.702,0.0918,119.969,0
ICY,IT'z ICY,ITZY,2019-07-29,191142,1,0.0328,0.8,0.904,3.17e-05,0.182,2,-2.821,0.806,0.0845,124.979,1
Tag Tag Tag,VERI-CHILL,VERIVERY,2019-07-31,185040,0,0.114,0.74,0.923,0.0,0.65,2,-1.842,0.563,0.176,109.014,1
Tiki-Taka(99%),WEEK END LOL,Weki Meki,2019-08-08,179763,19,0.403,0.735,0.928,0.0,0.0844,1,-3.482,0.755,0.0908,120.044,1
CALL ANYTIME - KR Ver.,CALL ANYTIME (KR Ver.),JINU,2019-08-14,194436,12,0.547,0.811,0.663,0.0,0.306,11,-6.124,0.62,0.0727,99.972,0
Adios,HUSH,EVERGLOW,2019-08-19,189146,1,0.000587,0.633,0.706,0.0795,0.245,10,-5.137,0.399,0.0627,128.187,0
D.D.D,THE BOYZ 4th MINI ALBUM [DREAMLIKE],THE BOYZ,2019-08-28,212362,0,0.0746,0.695,0.921,0.0,0.0789,3,-2.699,0.642,0.0848,119.973,1
Umpah Umpah,‘The ReVe Festival’ Finale,Red Velvet,2019-12-23,220131,53,0.0258,0.693,0.935,0.0,0.437,7,-3.306,0.844,0.0771,119.973,1
