Name,Album,Artist,Release_date,Length,popularity,acousticness,danceability,energy,instrumentalness,liveness,key,loudness,valence,speechiness,tempo,mode
Johnny,Johnny,Primary,2012-03-07,234292,40,0.269,0.737,0.605,0,0.0898,1,-4.557,0.802,0.151,99.905,1
Tears (feat.Eugene of THE SEEYA),Duble kick project Vol. 02,Leessang,2013-01-25,255660,43,0.209,0.686,0.866,0,0.0801,11,-4.957,0.717,0.054,98.004,1
NoNoNo,Secret Garden,Apink,2013-07-05,220099,55,0.106,0.74,0.908,0,0.0637,4,-2.668,0.745,0.0327,105.996,0
눈물샤워 (feat .에일리),4집 Part.2,BAECHIGI,2013-01-14,235853,27,0.367,0.753,0.702,0,0.0978,10,-4.905,0.554,0.0518,111.956,0
question mark,Primary and the Messengers LP,Primary,2012-10-31,194115,40,0.216,0.702,0.733,0,0.0643,3,-3.527,0.926,0.12,96.02,0
Give it to me,Give It To Me,SISTAR,2013-06-11,201325,53,0.176,0.719,0.945,0,0.576,7,-2.085,0.961,0.0424,136.045,0
What's your name?,Name is 4minute,4Minute,2013-04-25,186775,47,0.185,0.738,0.889,0,0.0661,11,-3.019,0.914,0.073,115.041,0
Monodrama (With. Yu Seung Woo),LITTLE GIANT,Huh Gak,2013-02-05,229355,33,0.78,0.662,0.426,0,0.276,4,-7.506,0.439,0.0263,106.931,0
MY LOVE,LEE SEUNG CHUL-THE BEST LIVE (WORLD TOUR),Lee Seung Chul,2016-05-03,184520,35,0.0741,0.542,0.987,0,0.87,0,-3.897,0.281,0.104,129.965,1
Gone not around any longer,Gone not around any longer,SISTAR19,2013-01-31,211069,46,0.177,0.646,0.804,0,0.0886,8,-4.372,0.69,0.0313,145.986,1
Bad Girl (feat. E-Sens),Bad Girl,BUMKEY,2013-06-03,257515,19,0.182,0.814,0.684,0,0.0645,9,-6.484,0.78,0.0567,119.98,0
거북이,MYSTIC BALLAD Pt. 2,DAVICHI,2013-03-18,225093,38,0.323,0.7,0.719,0,0.0753,10,-6.707,0.502,0.0402,117.994,1
Bom Bom Bom,Love Love Love,Roy Kim,2013-06-25,208466,40,0.392,0.636,0.719,3.12E-05,0.303,4,-5.986,0.603,0.0267,94.993,1
Touch love,Master`s sun OST Part 4,Yoon Mirae,2013-08-28,244166,48,0.612,0.699,0.533,0,0.209,5,-4.228,0.347,0.0275,82.017,1
Story of Someone I Know,Not' Based on the True Story,San E,2013-12-02,206600,35,0.22,0.837,0.91,0,0.339,1,-3.742,0.849,0.138,94.998,1
U & I,A`s Doll House,AILEE,2013-07-12,194712,48,0.0346,0.65,0.877,0,0.334,2,-1.918,0.906,0.0398,107.878,0
BAAAM (Feat. Muzie of UV),LUCKYNUMBERS,Dynamicduo,2013-07-01,220880,34,0.0443,0.61,0.8,0,0.0405,7,-5.544,0.682,0.212,99.193,1
Stupid in love,Stupid in love,Mad Clown,2013-09-10,249496,39,0.323,0.67,0.949,0,0.13,1,-1.299,0.633,0.284,143.824,0
Bar Bar Bar,빠빠빠,Crayon Pop,2013-06-20,180532,17,0.0131,0.931,0.818,0.697,0.0765,2,-2.964,0.856,0.0445,134.015,1
녹는중,MYSTIC BALLAD Pt. 2,DAVICHI,2013-03-18,226906,33,0.676,0.364,0.662,0,0.0878,8,-4.504,0.449,0.0484,171.617,1
