Name,Album,Artist,Release_date,Length,popularity,acousticness,danceability,energy,instrumentalness,liveness,key,loudness,valence,speechiness,tempo,mode
BLING BLING,NEW KIDS : BEGIN,iKON,2017-05-22,219225,0,0.069,0.781,0.94,0,0.0992,2,-3.779,0.537,0.067,125.009,1
Hobgoblin,CRYSTYLE,CLC,2017-01-17,210478,0,0.0194,0.621,0.873,0,0.488,11,-2.888,0.401,0.103,169.91,0
Best Of Me,Love Yourself ã¯ 'Her',BTS,2017-09-18,227191,66,0.0298,0.651,0.756,0,0.396,8,-4.388,0.473,0.0762,121.96,1
LONELY,LONELY,SISTAR,2017-05-31,207932,50,0.206,0.445,0.819,0,0.422,7,-3.324,0.643,0.0587,169.577,0
SHINE FOREVER,SHINE FOREVER,Monsta X,2017-06-19,208035,48,0.129,0.625,0.9,0,0.337,0,-3.351,0.606,0.055,80.007,1
Palette (feat. G-DRAGON),Palette,IU,2017-04-21,217412,66,0.458,0.804,0.68,0,0.102,0,-3.81,0.62,0.2,102.013,1
Don't Wanna Cry,SEVENTEEN 4th Mini Album ¡®Al1¡¯,SEVENTEEN,2017-05-22,203426,69,0.164,0.781,0.683,1.53E-06,0.16,0,-4.258,0.722,0.0325,100.005,1
BABE,Following,HyunA,2017-08-29,193328,54,0.168,0.819,0.837,0,0.0842,1,-3.246,0.67,0.0908,110.045,0
As If It's Your Last,As If It's Your Last,BLACKPINK,2017-06-22,213264,3,0.0688,0.786,0.853,0,0.0759,8,-2.687,0.45,0.0816,125.034,1
Don't Recall,"K.A.R.D Project Vol.2 ""Don't Recall""",KARD,2017-02-16,208666,54,0.0222,0.694,0.748,0,0.155,10,-2.93,0.521,0.167,92.918,0
Burn It Up,1-1=0 (NOTHING WITHOUT YOU),Wanna One,2017-11-13,214942,50,0.0461,0.642,0.849,0,0.398,11,-3.266,0.601,0.0563,127.923,0
All Night,Holiday Night - The 6th Album,Girls' Generation,2017-08-04,222893,50,0.0308,0.777,0.807,2.93E-05,0.228,9,-4.101,0.732,0.0517,129.984,0
Not Today,You Never Walk Alone,BTS,2017-02-13,231859,70,0.00181,0.594,0.946,1.04E-06,0.923,8,-3.408,0.665,0.126,110.024,1
Gashina,SUNMI SPECIAL EDITION [Gashina],SUNMI,2017-08-22,180000,68,0.0556,0.722,0.833,0,0.195,6,-3.915,0.53,0.094,93.941,1
Fine,My Voice - The 1st Album,TAEYEON,2017-02-28,209157,69,0.358,0.36,0.565,0,0.0448,7,-4.898,0.311,0.0608,173.281,1
Go Go,Love Yourself ã¯ 'Her',BTS,2017-09-18,235779,67,0.171,0.856,0.617,0,0.0857,10,-5.308,0.759,0.0841,136.082,0
21st Century Girl,You Never Walk Alone,BTS,2017-02-13,192596,54,0.00423,0.716,0.906,0,0.0547,2,-3.539,0.762,0.0717,101.028,1
Power,THE POWER OF MUSIC? The 4th Album ¡®THE WAR¡¯ Repackage,EXO,2017-09-05,222405,58,0.0315,0.657,0.943,0,0.149,7,-3.031,0.76,0.0856,127.958,1
LOVE ME LOVE ME,OUR TWENTY FOR,WINNER,2017-08-04,217308,0,0.0852,0.753,0.818,0,0.109,9,-4.458,0.737,0.0697,105.995,0
MIC Drop,Love Yourself ã¯ 'Her',BTS,2017-09-18,238193,65,0.00912,0.667,0.889,0,0.0816,6,-4.851,0.541,0.0918,169.959,1
